web-scraper-order,web-scraper-start-url,brand_raw,year_raw,km_raw,ps_raw,place_raw,price_raw,modell_raw,gear_raw,fuel_raw
"1671628613-267,""https://www.autolina.ch/carList/page/43?region=ZH"",""FIAT"",""2019"",""19'000"",""145"",""8117 Fällanden / ZH"",""17'800"",""595 Abarth 1.4 T-Jet 145"",""Handschaltung"",""Benzin"""
"1671628613-268,""https://www.autolina.ch/carList/page/43?region=ZH"",""JEEP"",""2018"",""59'000"",""170"",""8117 Fällanden / ZH"",""26'900"",""Renegade 2.0 CRD 170 Trailhawk AWD"",""Automat"",""Diesel"""
"1671628613-269,""https://www.autolina.ch/carList/page/43?region=ZH"",""FIAT"",""2022"",""0"",""118"",""8117 Fällanden / ZH"",""42'990"",""500 Cabrio La Prima C208"",""Automat"",""Elektro"""
"1671628613-270,""https://www.autolina.ch/carList/page/43?region=ZH"",""PEUGEOT"",""2016"",""39'500"",""110"",""8810 Horgen / ZH"",""17'200"",""208 1.2 PureTech GT Line S/S"",""Automat"",""Benzin"""
"1671628616-271,""https://www.autolina.ch/carList/page/42?region=ZH"",""PORSCHE"",""2020"",""41'000"",""245"",""8008 Zürich / ZH"",""59'900"",""MACAN"",""Automat"",""schwarz"""
"1671628616-272,""https://www.autolina.ch/carList/page/42?region=ZH"",""PORSCHE"",""2022"",""15'500"",""480"",""8008 Zürich / ZH"",""177'500"",""911 Carrera 4 GTS"",""Automat"",""rot"""
"1671628616-273,""https://www.autolina.ch/carList/page/42?region=ZH"",""CUPRA"",""2022"",""18'000"",""310"",""8308 Illnau / ZH"",""41'900"",""LEON ST 2.0 TSI VZ DSG 4Drive"",""Automat"",""Benzin"""
"1671628616-274,""https://www.autolina.ch/carList/page/42?region=ZH"",""OPEL"",""2015"",""132'000"",""90"",""8153 Rümlang / ZH"",""9'500"",""Corsa 1.4 TP Color Edition Easytronic"",""Automat"",""Benzin"""
"1671628616-275,""https://www.autolina.ch/carList/page/42?region=ZH"",""JAC"",""2022"",""1'500"",""193"",""8620 Wetzikon / ZH"",""34'989"",""JAC e-S4 65,7 kWh"",""Automat"",""Elektro"""
"1671628616-276,""https://www.autolina.ch/carList/page/42?region=ZH"",""SUZUKI"",""2008"",""159'500"",""125"",""8311 Brütten / ZH"",""5'900"",""Swift 1.6i 16V Sport"",""Handschaltung"",""Benzin"""
"1671628616-277,""https://www.autolina.ch/carList/page/42?region=ZH"",""VW"",""2012"",""126'000"",""160"",""8311 Brütten / ZH"",""9'999"",""Golf Cabrio 1.4 TSI DSG"",""Automat"",""Benzin"""
"1671628616-278,""https://www.autolina.ch/carList/page/42?region=ZH"",""VW"",""2008"",""126'000"",""140"",""8406 Winterthur-Töss / ZH"",""7'999"",""Passat 2.0 TDI Comfortline DSG"",""Automat"",""Diesel"""
"1671628616-279,""https://www.autolina.ch/carList/page/42?region=ZH"",""VOLVO"",""2019"",""53'500"",""190"",""8051 Zürich / ZH"",""39'899"",""V60 D4 AWD Inscription Geartronic"",""Automat"",""Diesel"""
"1671628616-280,""https://www.autolina.ch/carList/page/42?region=ZH"",""VW"",""2013"",""88'900"",""150"",""8051 Zürich / ZH"",""23'879"",""Sharan 1.4 TSI BlueMotion Highline DSG *7 SITZE / LEDER / MF"",""Automat"",""Benzin"""
"1671628616-281,""https://www.autolina.ch/carList/page/42?region=ZH"",""AUDI"",""2016"",""97'500"",""190"",""8051 Zürich / ZH"",""29'799"",""A6 Avant 2.0 TDI quattro S-tronic *S-LINE PAKET*"",""Automat"",""Diesel"""
"1671628616-282,""https://www.autolina.ch/carList/page/42?region=ZH"",""VW"",""2010"",""182'000"",""180"",""8196 Wil / ZH"",""23'500"",""T5 Multivan 2.0 Bi-TDI CR Highline DSG"",""Automat"",""Diesel"""
"1671628616-283,""https://www.autolina.ch/carList/page/42?region=ZH"",""RENAULT"",""2006"",""28'000"",""112"",""8196 Wil / ZH"",""6'990"",""Clio 1.6 16V Dynamique"",""Automat"",""Benzin"""
"1671628616-284,""https://www.autolina.ch/carList/page/42?region=ZH"",""BMW"",""2011"",""184'900"",""170"",""8196 Wil / ZH"",""9'900"",""320i Cabriolet"",""Handschaltung"",""Benzin"""
"1671628616-285,""https://www.autolina.ch/carList/page/42?region=ZH"",""MINI"",""null"",""10"",""306"",""8706 Meilen / ZH"",""64'900"",""Countryman John Cooper Works ALL4 Steptronic"",""Automat"",""Benzin"""
"1671628620-286,""https://www.autolina.ch/carList/page/41?region=ZH"",""PEUGEOT"",""2022"",""1'000"",""130"",""8352 Elsau / ZH"",""39'900"",""308 SW 1.2 Pure Tech GT EAT8"",""Automat"",""Benzin"""
"1671628620-287,""https://www.autolina.ch/carList/page/41?region=ZH"",""PORSCHE"",""2016"",""81'600"",""420"",""8706 Meilen / ZH"",""109'900"",""911 Carrera 4S PDK"",""Automat"",""Benzin"""
"1671628620-288,""https://www.autolina.ch/carList/page/41?region=ZH"",""AUDI"",""2017"",""91'500"",""500"",""8706 Meilen / ZH"",""64'900"",""A8 L 6.3 FSI W12 quattro tiptronic"",""Automat"",""Benzin"""
"1671628620-289,""https://www.autolina.ch/carList/page/41?region=ZH"",""BMW"",""2021"",""26'300"",""374"",""8706 Meilen / ZH"",""69'000"",""M440i 48V Coupé Steptronic"",""Automat"",""Mild-Hybrid Benzin/Elektro"""
"1671628620-290,""https://www.autolina.ch/carList/page/41?region=ZH"",""MERCEDES-BENZ"",""2006"",""438'500"",""170"",""8305 Dietlikon / ZH"",""5'700"",""E 220 CDI Avantgarde"",""Automat"",""Diesel"""
"1671628620-291,""https://www.autolina.ch/carList/page/41?region=ZH"",""JEEP"",""2006"",""176'511"",""218"",""8600 Dübendorf / ZH"",""5'999"",""Grand Cherokee 3.0 CRD Overland Automatic"",""Automat"",""Diesel"""
"1671628620-292,""https://www.autolina.ch/carList/page/41?region=ZH"",""JEEP"",""2014"",""132'281"",""250"",""8600 Dübendorf / ZH"",""22'950"",""Grand Cherokee 3.0 CRD Summit Automatic"",""Automat"",""Diesel"""
"1671628620-293,""https://www.autolina.ch/carList/page/41?region=ZH"",""VW"",""2011"",""158'822"",""245"",""8600 Dübendorf / ZH"",""18'600"",""Touareg 3.0 TDI BlueMotion Technology Tiptronic"",""Automat"",""Diesel"""
"1671628620-294,""https://www.autolina.ch/carList/page/41?region=ZH"",""MERCEDES-BENZ"",""2021"",""46'200"",""330"",""8305 Dietlikon / ZH"",""129'000"",""S 400 d 4Matic AMG Line 9G-Tronic"",""Automat"",""Diesel"""
"1671628620-295,""https://www.autolina.ch/carList/page/41?region=ZH"",""DODGE RAM"",""2005"",""188'378"",""325"",""8600 Dübendorf / ZH"",""22'000"",""2500 5.9L CUMMINS DIESEL 4WD"",""Automat"",""Diesel"""
"1671628620-296,""https://www.autolina.ch/carList/page/41?region=ZH"",""PEUGEOT"",""2020"",""38'650"",""130"",""8305 Dietlikon / ZH"",""32'500"",""5008 1.5 BlueHDi GT Line EAT"",""Automat"",""Diesel"""
"1671628620-297,""https://www.autolina.ch/carList/page/41?region=ZH"",""JEEP"",""2007"",""111'808"",""218"",""8600 Dübendorf / ZH"",""5'999"",""Gr.Cherokee 3.0 CRD Overland Automatic"",""Automat"",""Diesel"""
"1671628620-298,""https://www.autolina.ch/carList/page/41?region=ZH"",""LAND ROVER"",""2004"",""250'246"",""122"",""8614 Bertschikon / ZH"",""14'700"",""Defender 110 SW 2.5 Td5"",""Handschaltung"",""Diesel"""
"1671628620-299,""https://www.autolina.ch/carList/page/41?region=ZH"",""AUDI"",""2020"",""60'500"",""400"",""8614 Bertschikon / ZH"",""55'000"",""RS3 Sportback 2.5 TSI quattro S-tronic"",""Automat"",""Benzin"""
"1671628620-300,""https://www.autolina.ch/carList/page/41?region=ZH"",""PORSCHE"",""2019"",""45'000"",""354"",""8008 Zürich / ZH"",""66'500"",""MACAN S"",""Automat"",""schwarz"""
"1671628623-301,""https://www.autolina.ch/carList/page/40?region=ZH"",""DACIA"",""2019"",""48'000"",""115"",""8952 Schlieren / ZH"",""16'800"",""Duster SCe 115 Prestige 4x4"",""Handschaltung"",""Benzin"""
"1671628623-302,""https://www.autolina.ch/carList/page/40?region=ZH"",""VW"",""2018"",""46'300"",""95"",""8952 Schlieren / ZH"",""18'900"",""Polo 1.0 TSI BMT Comfortline DSG"",""Automat"",""Benzin"""
"1671628623-303,""https://www.autolina.ch/carList/page/40?region=ZH"",""DAIHATSU"",""2010"",""73'800"",""91"",""8952 Schlieren / ZH"",""8'999"",""Sirion 1.3 eco-4WD 4seasons Automatic"",""Automat"",""Benzin"""
"1671628623-304,""https://www.autolina.ch/carList/page/40?region=ZH"",""DAIHATSU"",""2010"",""65'800"",""105"",""8952 Schlieren / ZH"",""12'800"",""Terios 1.5 16V 4WD Automatic"",""Automat"",""Benzin"""
"1671628623-305,""https://www.autolina.ch/carList/page/40?region=ZH"",""FORD"",""2014"",""214'500"",""163"",""8952 Schlieren / ZH"",""8'900"",""Kuga 2.0 TDCi Titanium 4WD PowerShift"",""Automat"",""Diesel"""
"1671628623-306,""https://www.autolina.ch/carList/page/40?region=ZH"",""SKODA"",""2008"",""119'000"",""105"",""8952 Schlieren / ZH"",""4'999"",""Fabia 1.6 Elegance Tiptronic"",""Automat"",""Benzin"""
"1671628623-307,""https://www.autolina.ch/carList/page/40?region=ZH"",""SKODA"",""2011"",""115'000"",""105"",""8952 Schlieren / ZH"",""8'770"",""Fabia 1.2 TSI Elegance DSG"",""Automat"",""Benzin"""
"1671628623-308,""https://www.autolina.ch/carList/page/40?region=ZH"",""SMART"",""2011"",""93'500"",""71"",""8952 Schlieren / ZH"",""4'999"",""fortwo passion mhd softouch"",""Automat"",""Benzin"""
"1671628623-309,""https://www.autolina.ch/carList/page/40?region=ZH"",""MASERATI"",""null"",""100"",""301"",""8620 Wetzikon / ZH"",""87'900"",""Grecale 2.0 MHEV GT Hybrid Automatica"",""Automat"",""Mild-Hybrid Benzin/Elektro"""
"1671628623-310,""https://www.autolina.ch/carList/page/40?region=ZH"",""ALFA ROMEO"",""2012"",""87'100"",""135"",""8184 Bachenbülach / ZH"",""8'500"",""MiTo 1.4 TB Distinctive I MFK bis 03.2024 I ab Service I 1 J"",""Handschaltung"",""Benzin"""
"1671628623-311,""https://www.autolina.ch/carList/page/40?region=ZH"",""PEUGEOT"",""2013"",""91'000"",""156"",""8635 Dürnten / ZH"",""9'400"",""208 1.6 Turbo XY"",""Handschaltung"",""Benzin"""
"1671628623-312,""https://www.autolina.ch/carList/page/40?region=ZH"",""FORD"",""2016"",""58'609"",""180"",""8050 Zürich / ZH"",""22'900"",""Kuga 2.0 TDCi Titanium S 4WD PowerShift"",""Automat"",""Diesel"""
"1671628623-313,""https://www.autolina.ch/carList/page/40?region=ZH"",""BMW"",""2014"",""105'000"",""218"",""8050 Zürich / ZH"",""22'900"",""525d Touring Luxury Line Steptronic"",""Automat"",""Diesel"""
"1671628623-314,""https://www.autolina.ch/carList/page/40?region=ZH"",""BMW"",""2017"",""118'155"",""313"",""8050 Zürich / ZH"",""42'900"",""X5 40d Steptronic"",""Automat"",""Diesel"""
"1671628623-315,""https://www.autolina.ch/carList/page/40?region=ZH"",""VW"",""2017"",""181'461"",""150"",""8050 Zürich / ZH"",""19'900"",""T6 2.0 TDI"",""Handschaltung"",""Diesel"""
"1671628626-316,""https://www.autolina.ch/carList/page/39?region=ZH"",""AUDI"",""null"",""10"",""204"",""8803 Rüschlikon / ZH"",""79'500"",""Q5 40 TFSI advanced quattro S-tronic"",""Automat"",""Benzin"""
"1671628626-317,""https://www.autolina.ch/carList/page/39?region=ZH"",""AUDI"",""2022"",""7'500"",""311"",""8803 Rüschlikon / ZH"",""73'800"",""S3 Sportback 2.0 TFSI quattro S-tronic"",""Automat"",""Benzin"""
"1671628626-318,""https://www.autolina.ch/carList/page/39?region=ZH"",""SKODA"",""null"",""14"",""150"",""8048 Zürich / ZH"",""49'400"",""Superb Combi 2.0 TDi Ambition DSG"",""Automat"",""Diesel"""
"1671628626-319,""https://www.autolina.ch/carList/page/39?region=ZH"",""SKODA"",""null"",""11"",""110"",""8048 Zürich / ZH"",""32'860"",""Scala 1.0 TSI Tour DSG"",""Automat"",""Benzin"""
"1671628626-320,""https://www.autolina.ch/carList/page/39?region=ZH"",""SKODA"",""null"",""13"",""150"",""8048 Zürich / ZH"",""37'830"",""Kamiq 1.5 TSI Tour DSG"",""Automat"",""Benzin"""
"1671628626-321,""https://www.autolina.ch/carList/page/39?region=ZH"",""SKODA"",""null"",""11"",""110"",""8048 Zürich / ZH"",""34'080"",""Kamiq 1.0 TSI Tour DSG"",""Automat"",""Benzin"""
"1671628626-322,""https://www.autolina.ch/carList/page/39?region=ZH"",""SKODA"",""2022"",""9'900"",""280"",""8048 Zürich / ZH"",""52'900"",""Superb Combi 2.0 TSI Sportline Light 4x4 DSG"",""Automat"",""Benzin"""
"1671628626-323,""https://www.autolina.ch/carList/page/39?region=ZH"",""CUPRA"",""2022"",""9'900"",""204"",""8048 Zürich / ZH"",""43'900"",""Born 58 kWh"",""Automat"",""Elektro"""
"1671628626-324,""https://www.autolina.ch/carList/page/39?region=ZH"",""SKODA"",""null"",""13"",""265"",""8048 Zürich / ZH"",""70'850"",""Enyaq iV 80x SportLine"",""Automat"",""Elektro"""
"1671628626-325,""https://www.autolina.ch/carList/page/39?region=ZH"",""VW"",""2018"",""72'400"",""204"",""8713 Uerikon / ZH"",""58'900"",""T6 Multivan 2.0 Bi-TDI Comfortline 4Motion DSG"",""Automat"",""Diesel"""
"1671628626-326,""https://www.autolina.ch/carList/page/39?region=ZH"",""VW"",""null"",""100"",""150"",""8713 Uerikon / ZH"",""79'900"",""T6.1 Multivan 2.0 TDI Highline 4Motion DSG"",""Automat"",""Diesel"""
"1671628626-327,""https://www.autolina.ch/carList/page/39?region=ZH"",""VW"",""null"",""400"",""150"",""8713 Uerikon / ZH"",""77'900"",""T6.1 Multivan 2.0 TDI Generation Six 4Motion DSG"",""Automat"",""Diesel"""
"1671628626-328,""https://www.autolina.ch/carList/page/39?region=ZH"",""VW"",""null"",""50"",""204"",""8713 Uerikon / ZH"",""91'900"",""T6.1 Multivan 2.0 Bi-TDI Highline Liberty 4Mot. DSG"",""Automat"",""Diesel"""
"1671628626-329,""https://www.autolina.ch/carList/page/39?region=ZH"",""HOBBY"",""2022"",""1'000"",""null"",""8957 Spreitenbach / ZH"",""17'500"",""ONTOUR 390 sf 30 EG Neuwertig"",""null"",""null"""
"1671628626-330,""https://www.autolina.ch/carList/page/39?region=ZH"",""FIAT"",""2012"",""24'600"",""70"",""8952 Schlieren / ZH"",""6'999"",""Punto 1.2 Pop"",""Handschaltung"",""Benzin"""
"1671628630-331,""https://www.autolina.ch/carList/page/38?region=ZH"",""OPEL"",""2022"",""2'500"",""224"",""8451 Kleinandelfingen / ZH"",""42'900"",""Grandland 1.6 T PHEV GS Line"",""Automat"",""Plug-in-Hybrid Benzin/Elektro"""
"1671628630-332,""https://www.autolina.ch/carList/page/38?region=ZH"",""AUDI"",""2017"",""92'500"",""435"",""8008 Zürich / ZH"",""61'900"",""SQ7"",""Automat"",""Diesel"""
"1671628630-333,""https://www.autolina.ch/carList/page/38?region=ZH"",""TESLA"",""2019"",""47'500"",""306"",""8800 Thalwil / ZH"",""38'500"",""Model 3"",""Automat"",""Elektro"""
"1671628630-334,""https://www.autolina.ch/carList/page/38?region=ZH"",""FORD"",""2017"",""65'000"",""180"",""8424 Embrach / ZH"",""25'200"",""Kuga 2.0 TDCi Vignale 4WD PowerShift"",""Automat"",""Diesel"""
"1671628630-335,""https://www.autolina.ch/carList/page/38?region=ZH"",""AUDI"",""2007"",""346'000"",""220"",""8424 Embrach / ZH"",""3'250"",""A4 Avant 2.0 Turbo FSI quattro"",""Handschaltung"",""Benzin"""
"1671628630-336,""https://www.autolina.ch/carList/page/38?region=ZH"",""FIAT"",""2017"",""71'000"",""160"",""8424 Embrach / ZH"",""17'200"",""595 1.4 16V Turbo Abarth Pista"",""Handschaltung"",""Benzin"""
"1671628630-337,""https://www.autolina.ch/carList/page/38?region=ZH"",""FORD"",""2021"",""11'000"",""125"",""8162 Steinmaur -Sünikon / ZH"",""32'000"",""Focus 1.0 SCTi Aut Act. X"",""Automat"",""Benzin"""
"1671628630-338,""https://www.autolina.ch/carList/page/38?region=ZH"",""FORD"",""2021"",""5'800"",""190"",""8162 Steinmaur -Sünikon / ZH"",""43'800"",""Mondeo 2.0TDCi ST-LineAWD"",""Automat"",""Diesel"""
"1671628630-339,""https://www.autolina.ch/carList/page/38?region=ZH"",""LAMBORGHINI"",""2021"",""17'300"",""650"",""8307 Effretikon / ZH"",""299'900"",""Urus"",""Automat"",""Benzin"""
"1671628630-340,""https://www.autolina.ch/carList/page/38?region=ZH"",""CUPRA"",""2021"",""39'500"",""300"",""8308 Illnau / ZH"",""43'500"",""LEON VZ 2.0 TSI DSG"",""Automat"",""Benzin"""
"1671628630-341,""https://www.autolina.ch/carList/page/38?region=ZH"",""ASTON MARTIN"",""2020"",""1'990"",""608"",""8307 Effretikon / ZH"",""159'900"",""DB11 V12"",""Automat"",""Benzin"""
"1671628630-342,""https://www.autolina.ch/carList/page/38?region=ZH"",""AUDI"",""null"",""10"",""507"",""8803 Rüschlikon / ZH"",""148'800"",""SQ7 TFSI quattro tiptronic"",""Automat"",""Benzin"""
"1671628630-343,""https://www.autolina.ch/carList/page/38?region=ZH"",""AUDI"",""null"",""10"",""400"",""8803 Rüschlikon / ZH"",""97'700"",""RS Q3 Sportback quattro S tronic"",""Automat"",""Benzin"""
"1671628630-344,""https://www.autolina.ch/carList/page/38?region=ZH"",""AUDI"",""null"",""10"",""204"",""8803 Rüschlikon / ZH"",""79'900"",""Q5 40 TFSI advanced quattro S-tronic"",""Automat"",""Benzin"""
"1671628630-345,""https://www.autolina.ch/carList/page/38?region=ZH"",""AUDI"",""null"",""10"",""400"",""8803 Rüschlikon / ZH"",""97'700"",""RS Q3 Sportback quattro S tronic"",""Automat"",""Benzin"""
"1671628633-346,""https://www.autolina.ch/carList/page/37?region=ZH"",""SSANG YONG"",""2016"",""123'000"",""149"",""8912 Obfelden / ZH"",""8'900"",""Korando 2.0 e-XDi Plus Edition e3-LowE"",""Handschaltung"",""Diesel"""
"1671628633-347,""https://www.autolina.ch/carList/page/37?region=ZH"",""VW"",""2018"",""73'500"",""286"",""8032 Zürich / ZH"",""54'900"",""New Touareg Elegance"",""Automat"",""Diesel"""
"1671628633-348,""https://www.autolina.ch/carList/page/37?region=ZH"",""FORD"",""2021"",""32'000"",""100"",""8912 Obfelden / ZH"",""25'900"",""Tourneo Grand Connect 1.5 EcoBlue 100 Trend"",""Handschaltung"",""Diesel"""
"1671628633-349,""https://www.autolina.ch/carList/page/37?region=ZH"",""SKODA"",""null"",""100"",""280"",""8610 Uster / ZH"",""59'990"",""SUPERB Sportline"",""Automat"",""Benzin"""
"1671628633-350,""https://www.autolina.ch/carList/page/37?region=ZH"",""JEEP"",""null"",""10"",""180"",""8048 Zürich / ZH"",""55'800"",""Compass 1.3 S Plus 4xe"",""Automat"",""Plug-in-Hybrid Benzin/Elektro"""
"1671628633-351,""https://www.autolina.ch/carList/page/37?region=ZH"",""AUDI"",""2022"",""11'800"",""286"",""8706 Feldmeilen / ZH"",""69'900"",""Q5 SB 50 TDI S line qu"",""Automat"",""Diesel"""
"1671628633-352,""https://www.autolina.ch/carList/page/37?region=ZH"",""VW"",""null"",""50"",""150"",""8630 Rüti / ZH"",""39'280"",""T-Cross SELECTION Style"",""Automat"",""Benzin"""
"1671628633-353,""https://www.autolina.ch/carList/page/37?region=ZH"",""AUDI"",""2013"",""112'000"",""300"",""8634 Hombrechtikon / ZH"",""24'800"",""S3 Sportback"",""Automat"",""Benzin"""
"1671628633-354,""https://www.autolina.ch/carList/page/37?region=ZH"",""VW"",""null"",""50"",""299"",""8630 Rüti / ZH"",""67'990"",""ID.5 GTX"",""Automat"",""Elektro"""
"1671628633-355,""https://www.autolina.ch/carList/page/37?region=ZH"",""CITROEN"",""2014"",""139'700"",""114"",""8424 Embrach / ZH"",""11'990"",""C4 Aircross 1.6 HDi 115 Exclusive 4WD S/S"",""Handschaltung"",""Diesel"""
"1671628633-356,""https://www.autolina.ch/carList/page/37?region=ZH"",""VW"",""null"",""50"",""320"",""8630 Rüti / ZH"",""84'390"",""Tiguan R"",""Automat"",""Benzin"""
"1671628633-357,""https://www.autolina.ch/carList/page/37?region=ZH"",""SKODA"",""2019"",""69'800"",""150"",""8451 Kleinandelfingen / ZH"",""38'060"",""Octavia Combi 2.0 TDI 150 Style 4x4 DSG"",""Automat"",""Diesel"""
"1671628633-358,""https://www.autolina.ch/carList/page/37?region=ZH"",""AUDI"",""2019"",""79'000"",""170"",""8706 Feldmeilen / ZH"",""31'800"",""A5 Sportback 40 g-tron sport"",""Automat"",""Erdgas (CNG) / Benzin"""
"1671628633-359,""https://www.autolina.ch/carList/page/37?region=ZH"",""OPEL"",""2015"",""84'200"",""140"",""8545 Rickenbach / ZH"",""15'600"",""Mokka 1.4T ecoTEC Drive"",""Automat"",""Benzin"""
"1671628633-360,""https://www.autolina.ch/carList/page/37?region=ZH"",""MERCEDES-BENZ"",""null"",""0"",""544"",""8305 Dietlikon / ZH"",""192'000"",""EQS 580 AMG Line 4Matic Realease Edition"",""Automat"",""Elektro"""
"1671628636-361,""https://www.autolina.ch/carList/page/36?region=ZH"",""VW"",""null"",""20"",""95"",""8954 Geroldswil / ZH"",""27'990"",""Polo 1.0 TSI Life DSG"",""Automat"",""Benzin"""
"1671628636-362,""https://www.autolina.ch/carList/page/36?region=ZH"",""VW"",""null"",""20"",""95"",""8954 Geroldswil / ZH"",""27'990"",""Polo 1.0 TSI Life DSG"",""Automat"",""Benzin"""
"1671628636-363,""https://www.autolina.ch/carList/page/36?region=ZH"",""VW"",""null"",""20"",""319"",""8954 Geroldswil / ZH"",""89'990"",""Tiguan 2.0TSI R 4Motion DSG"",""Automat"",""Benzin"""
"1671628636-364,""https://www.autolina.ch/carList/page/36?region=ZH"",""VW"",""2020"",""39'400"",""150"",""8954 Geroldswil / ZH"",""29'900"",""Golf 1.5 eTSI mHEV ACT First Edition DSG"",""Automat"",""Mild-Hybrid Benzin/Elektro"""
"1671628636-365,""https://www.autolina.ch/carList/page/36?region=ZH"",""VW"",""2021"",""18'924"",""204"",""8954 Geroldswil / ZH"",""49'990"",""ID.4 Pro Performance 77 kWh 1ST Max"",""Automat"",""Elektro"""
"1671628636-366,""https://www.autolina.ch/carList/page/36?region=ZH"",""SKODA"",""2021"",""43'750"",""95"",""8051 Zürich / ZH"",""21'490"",""FABIA Limousine Monte Carlo"",""Automat"",""Benzin"""
"1671628636-367,""https://www.autolina.ch/carList/page/36?region=ZH"",""SEAT"",""2021"",""47'500"",""110"",""8051 Zürich / ZH"",""22'900"",""ARONA FR"",""Automat"",""Benzin"""
"1671628636-368,""https://www.autolina.ch/carList/page/36?region=ZH"",""SEAT"",""2018"",""44'450"",""300"",""8051 Zürich / ZH"",""29'900"",""LEON ST 4DRIVE STOPP - START"",""Automat"",""Benzin"""
"1671628636-369,""https://www.autolina.ch/carList/page/36?region=ZH"",""MERCEDES-BENZ"",""2018"",""64'500"",""218"",""8048 Zürich-Letzigrund / ZH"",""33'800"",""CLA 250 Shooting Break Sport 4Matic 7G-DCT"",""Automat"",""Benzin"""
"1671628636-370,""https://www.autolina.ch/carList/page/36?region=ZH"",""SKODA"",""2021"",""38'850"",""204"",""8051 Zürich / ZH"",""35'900"",""NEW OCTAVIA Style iV Plug-in-Hybrid"",""Automat"",""Voll-Hybrid Benzin/Elektro"""
"1671628636-371,""https://www.autolina.ch/carList/page/36?region=ZH"",""JEEP"",""2015"",""84'500"",""250"",""8620 Wetzikon / ZH"",""28'900"",""Grand Cherokee 3.0 CRD Limited Automatic"",""Automat"",""Diesel"""
"1671628636-372,""https://www.autolina.ch/carList/page/36?region=ZH"",""HONDA"",""1996"",""156'700"",""75"",""8610 Uster / ZH"",""2'800"",""Civic 1.4i Joker"",""Handschaltung"",""Benzin"""
"1671628636-373,""https://www.autolina.ch/carList/page/36?region=ZH"",""MINI"",""2012"",""118'000"",""143"",""8408 Winterthur / ZH"",""12'950"",""Countryman Cooper SD ALL4"",""Handschaltung"",""Diesel"""
"1671628636-374,""https://www.autolina.ch/carList/page/36?region=ZH"",""RENAULT"",""2017"",""160'500"",""110"",""8414 Buch am Irchel / ZH"",""10'500"",""Kadjar 1.5 dCi Bose EDC"",""Automat"",""Diesel"""
"1671628636-375,""https://www.autolina.ch/carList/page/36?region=ZH"",""LAND ROVER"",""2022"",""50"",""164"",""8051 Zürich / ZH"",""53'500"",""Disco. Sp. D165 TD4 S"",""Automat"",""weiss"""
"1671628639-376,""https://www.autolina.ch/carList/page/35?region=ZH"",""VW"",""null"",""20"",""110"",""8954 Geroldswil / ZH"",""34'390"",""T-Cross 1.0 TSI Life Selection DSG"",""Automat"",""Benzin"""
"1671628639-377,""https://www.autolina.ch/carList/page/35?region=ZH"",""VW"",""null"",""20"",""150"",""8954 Geroldswil / ZH"",""39'890"",""T-Cross 1.5 TSI EVO ACT Style Selection DSG"",""Automat"",""Benzin"""
"1671628639-378,""https://www.autolina.ch/carList/page/35?region=ZH"",""AUDI"",""null"",""35"",""150"",""8954 Geroldswil / ZH"",""44'800"",""A3 Sportback 35 TFSI Attraction S-tronic"",""Automat"",""Mild-Hybrid Benzin/Elektro"""
"1671628639-379,""https://www.autolina.ch/carList/page/35?region=ZH"",""AUDI"",""null"",""35"",""150"",""8954 Geroldswil / ZH"",""44'800"",""A3 Sportback 35 TFSI Attraction S-tronic"",""Automat"",""Mild-Hybrid Benzin/Elektro"""
"1671628639-380,""https://www.autolina.ch/carList/page/35?region=ZH"",""VW"",""2021"",""12'885"",""110"",""8954 Geroldswil / ZH"",""24'900"",""T-Roc 1.0 TSI Value"",""Handschaltung"",""Benzin"""
"1671628639-381,""https://www.autolina.ch/carList/page/35?region=ZH"",""AUDI"",""null"",""35"",""150"",""8954 Geroldswil / ZH"",""64'550"",""Q3 35 TFSI S line Attraction S-tronic"",""Automat"",""Benzin"""
"1671628639-382,""https://www.autolina.ch/carList/page/35?region=ZH"",""VW"",""2018"",""41'280"",""150"",""8954 Geroldswil / ZH"",""28'900"",""Tiguan 1.4TSI ACT Trendline 4Motion DSG"",""Automat"",""Benzin"""
"1671628639-383,""https://www.autolina.ch/carList/page/35?region=ZH"",""VW"",""2022"",""20"",""190"",""8954 Geroldswil / ZH"",""68'890"",""Tiguan 2.0TSI R-Line 4Motion DSG"",""Automat"",""Benzin"""
"1671628639-384,""https://www.autolina.ch/carList/page/35?region=ZH"",""VW"",""null"",""20"",""245"",""8954 Geroldswil / ZH"",""54'100"",""Golf 2.0 TSI GTI DSG"",""Automat"",""Benzin"""
"1671628639-385,""https://www.autolina.ch/carList/page/35?region=ZH"",""VW"",""2022"",""900"",""204"",""8954 Geroldswil / ZH"",""86'000"",""ID.Buzz Pro"",""Automat"",""Elektro"""
"1671628639-386,""https://www.autolina.ch/carList/page/35?region=ZH"",""AUDI"",""null"",""35"",""311"",""8954 Geroldswil / ZH"",""73'300"",""S3 Sportback 2.0 TFSI quattro S-tronic"",""Automat"",""Benzin"""
"1671628639-387,""https://www.autolina.ch/carList/page/35?region=ZH"",""AUDI"",""null"",""35"",""150"",""8954 Geroldswil / ZH"",""59'200"",""Q3 35 TFSI S line Attraction S-tronic"",""Automat"",""Benzin"""
"1671628639-388,""https://www.autolina.ch/carList/page/35?region=ZH"",""AUDI"",""null"",""35"",""204"",""8954 Geroldswil / ZH"",""83'900"",""Q5 Sportback 40 TDI Blackedition quattro S-tronic"",""Automat"",""Mild-Hybrid Diesel/Elektro"""
