web-scraper-order,web-scraper-start-url,brand_raw,year_raw,km_raw,ps_raw,place_raw,price_raw,modell_raw,gear_raw,fuel_raw
"1671628593-176,""https://www.autolina.ch/carList/page/49?region=ZH"",""VW"",""2016"",""69'700"",""110"",""8340 Hinwil / ZH"",""18'900"",""Golf 1.4 TGI BlueMotion Allstar DSG"",""Automat"",""Erdgas (CNG) / Benzin"""
"1671628593-177,""https://www.autolina.ch/carList/page/49?region=ZH"",""AUDI"",""2014"",""90'300"",""150"",""8340 Hinwil / ZH"",""18'500"",""A3 Sportback 2.0 TDI Ambition quattro"",""Handschaltung"",""Diesel"""
"1671628593-178,""https://www.autolina.ch/carList/page/49?region=ZH"",""LAND ROVER"",""2015"",""121'800"",""241"",""8340 Hinwil / ZH"",""23'900"",""Discovery Sport 2.0 Si4 HSE AT9"",""Automat"",""Benzin"""
"1671628593-179,""https://www.autolina.ch/carList/page/49?region=ZH"",""MAZDA"",""2015"",""131'136"",""160"",""8820 Wädenswil / ZH"",""17'987"",""CX-5 SG160 AWD AT Amb 5 Navi"",""Automat"",""Benzin"""
"1671628593-180,""https://www.autolina.ch/carList/page/49?region=ZH"",""BMW"",""null"",""20"",""374"",""8008 Zürich / ZH"",""87'800"",""M440i 48V Cabriolet Steptronic"",""Automat"",""Mild-Hybrid Benzin/Elektro"""
"1671628597-181,""https://www.autolina.ch/carList/page/48?region=ZH"",""HYUNDAI"",""2017"",""108'000"",""141"",""8618 Oetwil am See / ZH"",""17'900"",""i40 Wagon 1.7 CRDI Vertex Automatic"",""Automat"",""Diesel"""
"1671628597-182,""https://www.autolina.ch/carList/page/48?region=ZH"",""ALFA ROMEO"",""2016"",""129'000"",""180"",""8618 Oetwil am See / ZH"",""21'900"",""Giulia 2.2 JTDM Super Automatic"",""Automat"",""Diesel"""
"1671628597-183,""https://www.autolina.ch/carList/page/48?region=ZH"",""VW"",""null"",""15"",""200"",""8406 Winterthur / ZH"",""84'900"",""Passat Variant Alltrack"",""Automat"",""Diesel"""
"1671628597-184,""https://www.autolina.ch/carList/page/48?region=ZH"",""BMW"",""2022"",""17'700"",""340"",""8953 Dietikon / ZH"",""79'900"",""M340d 48V Touring"",""Automat"",""Mild-Hybrid Diesel/Elektro"""
"1671628597-185,""https://www.autolina.ch/carList/page/48?region=ZH"",""BMW"",""2018"",""36'800"",""340"",""8953 Dietikon / ZH"",""38'900"",""M240i"",""Automat"",""Benzin"""
"1671628597-186,""https://www.autolina.ch/carList/page/48?region=ZH"",""MINI"",""2019"",""35'900"",""192"",""8953 Dietikon / ZH"",""34'900"",""Countryman Cooper S FWD"",""Automat"",""Benzin"""
"1671628597-187,""https://www.autolina.ch/carList/page/48?region=ZH"",""BMW"",""2018"",""57'500"",""231"",""8953 Dietikon / ZH"",""39'900"",""X2 25d M Sport"",""Automat"",""Diesel"""
"1671628597-188,""https://www.autolina.ch/carList/page/48?region=ZH"",""BMW"",""2021"",""17'000"",""510"",""8953 Dietikon / ZH"",""91'900"",""X3 M Competition"",""Automat"",""Benzin"""
"1671628597-189,""https://www.autolina.ch/carList/page/48?region=ZH"",""BMW"",""2020"",""14'500"",""400"",""8953 Dietikon / ZH"",""109'900"",""X7 M50d"",""Automat"",""Diesel"""
"1671628597-190,""https://www.autolina.ch/carList/page/48?region=ZH"",""BMW"",""2021"",""14'000"",""184"",""8953 Dietikon / ZH"",""42'900"",""220i M Sport"",""Automat"",""Benzin"""
"1671628597-191,""https://www.autolina.ch/carList/page/48?region=ZH"",""BMW"",""2021"",""6'000"",""510"",""8953 Dietikon / ZH"",""91'200"",""X3 M Competition"",""Automat"",""Benzin"""
"1671628597-192,""https://www.autolina.ch/carList/page/48?region=ZH"",""BMW"",""2022"",""13'950"",""339"",""8953 Dietikon / ZH"",""81'900"",""X3 48V M40d Travel"",""Automat"",""Mild-Hybrid Diesel/Elektro"""
"1671628597-193,""https://www.autolina.ch/carList/page/48?region=ZH"",""BMW"",""2022"",""12'300"",""306"",""8953 Dietikon / ZH"",""56'900"",""M135i"",""Automat"",""Benzin"""
